row,planet,name,gm,radius,density,albedo
0,Earth,Moon,4902.801,1737.5,3.344,0.12
1,Mars,Phobos,0.0007112,11.1,1.872,0.071
2,Mars,Deimos,9.85e-05,6.2,1.471,0.068
3,Jupiter,Io,5959.916,1821.6,3.528,0.63
4,Jupiter,Europa,3202.739,1560.8,3.013,0.67
5,Jupiter,Ganymede,9887.834,2631.2,1.942,0.43
6,Jupiter,Callisto,7179.289,2410.3,1.834,0.17
7,Jupiter,Amalthea,0.138,83.45,0.849,0.09
8,Jupiter,Himalia,0.45,85.0,2.6,0.04
9,Jupiter,Elara,0.058,43.0,2.6,0.04
10,Jupiter,Pasiphae,0.02,30.0,2.6,0.04
11,Jupiter,Sinope,0.005,19.0,2.6,0.04
12,Jupiter,Lysithea,0.0042,18.0,2.6,0.04
13,Jupiter,Carme,0.0088,23.0,2.6,0.04
14,Jupiter,Ananke,0.002,14.0,2.6,0.04
15,Jupiter,Leda,0.00073,10.0,2.6,0.04
16,Jupiter,Thebe,0.1,49.3,3.0,0.047
17,Jupiter,Adrastea,0.0005,8.2,3.0,0.1
18,Jupiter,Metis,0.008,21.5,3.0,0.061
19,Jupiter,Callirrhoe,5.8e-05,4.3,2.6,0.04
20,Jupiter,Themisto,4.6e-05,4.0,2.6,0.04
21,Jupiter,Megaclite,1.4e-05,2.7,2.6,0.04
22,Jupiter,Taygete,1.1e-05,2.5,2.6,0.04
23,Jupiter,Chaldene,5e-06,1.9,2.6,0.04
24,Jupiter,Harpalyke,8e-06,2.2,2.6,0.04
25,Jupiter,Kalyke,1.3e-05,2.6,2.6,0.04
26,Jupiter,Iocaste,1.3e-05,2.6,2.6,0.04
27,Jupiter,Erinome,3e-06,1.6,2.6,0.04
28,Jupiter,Isonoe,5e-06,1.9,2.6,0.04
29,Jupiter,Praxidike,2.9e-05,3.4,2.6,0.04
30,Jupiter,Autonoe,6e-06,2.0,2.6,0.04
31,Jupiter,Thyone,6e-06,2.0,2.6,0.04
32,Jupiter,Hermippe,6e-06,2.0,2.6,0.04
33,Jupiter,Aitne,3e-06,1.5,2.6,0.04
34,Jupiter,Eurydome,3e-06,1.5,2.6,0.04
35,Jupiter,Euanthe,3e-06,1.5,2.6,0.04
36,Jupiter,Euporie,1e-06,1.0,2.6,0.04
37,Jupiter,Orthosie,1e-06,1.0,2.6,0.04
38,Jupiter,Sponde,1e-06,1.0,2.6,0.04
39,Jupiter,Kale,1e-06,1.0,2.6,0.04
40,Jupiter,Pasithee,1e-06,1.0,2.6,0.04
41,Jupiter,Hegemone,3e-06,1.5,2.6,0.04
42,Jupiter,Mneme,1e-06,1.0,2.6,0.04
43,Jupiter,Aoede,6e-06,2.0,2.6,0.04
44,Jupiter,Thelxinoe,1e-06,1.0,2.6,0.04
45,Jupiter,Arche,3e-06,1.5,2.6,0.04
46,Jupiter,Kallichore,1e-06,1.0,2.6,0.04
47,Jupiter,Helike,6e-06,2.0,2.6,0.04
48,Jupiter,Carpo,3e-06,1.5,2.6,0.04
49,Jupiter,Eukelade,6e-06,2.0,2.6,0.04
50,Jupiter,Cyllene,1e-06,1.0,2.6,0.04
51,Jupiter,Kore,1e-06,1.0,2.6,0.04
52,Jupiter,Herse,1e-06,1.0,2.6,0.04
53,Jupiter,S/2000 J11,1e-06,1.0,2.6,0.04
54,Jupiter,S/2003 J2,1e-06,1.0,2.6,0.04
55,Jupiter,S/2003 J3,1e-06,1.0,2.6,0.04
56,Jupiter,S/2003 J4,1e-06,1.0,2.6,0.04
57,Jupiter,S/2003 J5,6e-06,2.0,2.6,0.04
58,Jupiter,S/2003 J9,1e-07,0.5,2.6,0.04
59,Jupiter,S/2003 J10,1e-06,1.0,2.6,0.04
60,Jupiter,S/2003 J12,1e-07,0.5,2.6,0.04
61,Jupiter,S/2003 J15,1e-06,1.0,2.6,0.04
62,Jupiter,S/2003 J16,1e-06,1.0,2.6,0.04
63,Jupiter,S/2003 J18,1e-06,1.0,2.6,0.04
64,Jupiter,S/2003 J19,1e-06,1.0,2.6,0.04
65,Jupiter,S/2003 J23,1e-06,1.0,2.6,0.04
66,Jupiter,S/2010 J1,1e-06,1.0,2.6,0.04
67,Jupiter,S/2010 J2,1e-06,1.0,2.6,0.04
68,Jupiter,S/2011 J1,1e-06,1.0,2.6,0.04
69,Jupiter,S/2011 J2,1e-06,1.0,2.6,0.04
70,Saturn,Mimas,2.5026,198.2,1.15,0.962
71,Saturn,Enceladus,7.2027,252.1,1.608,1.375
72,Saturn,Tethys,41.2067,533.0,0.973,1.229
73,Saturn,Dione,73.1146,561.7,1.476,0.998
74,Saturn,Rhea,153.9426,764.3,1.233,0.949
75,Saturn,Titan,8978.1382,2574.73,1.882,0.2
76,Saturn,Hyperion,0.3727,135.0,0.544,0.3
77,Saturn,Iapetus,120.5038,735.6,1.083,0.6
78,Saturn,Phoebe,0.5532,106.5,1.638,0.081
79,Saturn,Janus,0.1263,89.5,0.63,0.71
80,Saturn,Epimetheus,0.0351,58.1,0.64,0.73
81,Saturn,Helene,0.00076,17.6,0.5,1.67
82,Saturn,Telesto,0.00027,12.4,0.5,1.0
83,Saturn,Calypso,0.00017,10.7,0.5,1.34
84,Saturn,Atlas,0.00044,15.1,0.46,0.4
85,Saturn,Prometheus,0.01074,43.1,0.48,0.6
86,Saturn,Pandora,0.00924,40.7,0.49,0.5
87,Saturn,Pan,0.00033,14.1,0.42,0.5
88,Saturn,Methone,6e-07,1.6,0.5,
89,Saturn,Pallene,2.2e-06,2.5,0.5,
90,Saturn,Polydeuces,3e-07,1.3,0.5,
91,Saturn,Daphnis,5.2e-06,3.8,0.34,
92,Saturn,Anthe,1e-07,0.9,0.5,
93,Saturn,Aegaeon,4e-09,0.3,0.5,
94,Saturn,Ymir,0.00033,9.0,2.3,0.06
95,Saturn,Paaliaq,0.00055,11.0,2.3,0.06
96,Saturn,Tarvos,0.00018,7.5,2.3,0.06
97,Saturn,Ijiraq,8e-05,6.0,2.3,0.06
98,Saturn,Suttungr,1.4e-05,3.5,2.3,0.06
99,Saturn,Kiviuq,0.00022,8.0,2.3,0.06
100,Saturn,Mundilfari,1.4e-05,3.5,2.3,0.06
101,Saturn,Albiorix,0.0014,16.0,2.3,0.06
102,Saturn,Skathi,2.1e-05,4.0,2.3,0.06
103,Saturn,Erriapus,5.1e-05,5.0,2.3,0.06
104,Saturn,Siarnaq,0.0026,20.0,2.3,0.06
105,Saturn,Thrymr,1.4e-05,3.5,2.3,0.06
106,Saturn,Narvi,2.3e-05,3.5,2.3,0.04
107,Saturn,Aegir,0.0,3.0,2.3,0.04
108,Saturn,Bebhionn,0.0,3.0,2.3,0.04
109,Saturn,Bergelmir,0.0,3.0,2.3,0.04
110,Saturn,Bestla,0.0,3.5,2.3,0.04
111,Saturn,Farbauti,0.0,2.5,2.3,0.04
112,Saturn,Fenrir,0.0,2.0,2.3,0.04
113,Saturn,Fornjot,0.0,3.0,2.3,0.04
114,Saturn,Hati,0.0,3.0,2.3,0.04
115,Saturn,Hyrrokkin,0.0,3.0,2.3,0.04
116,Saturn,Kari,0.0,3.0,2.3,0.04
117,Saturn,Loge,0.0,3.0,2.3,0.04
118,Saturn,Skoll,0.0,3.0,2.3,0.04
119,Saturn,Surtur,0.0,3.0,2.3,0.04
120,Saturn,Jarnsaxa,0.0,3.0,2.3,0.04
121,Saturn,Greip,0.0,3.0,2.3,0.04
122,Saturn,Tarqeq,0.0,3.0,2.3,0.04
123,Saturn,S/2004 S7,0.0,3.0,2.3,0.04
124,Saturn,S/2004 S12,0.0,2.5,2.3,0.04
125,Saturn,S/2004 S13,0.0,3.0,2.3,0.04
126,Saturn,S/2004 S17,0.0,2.0,2.3,0.04
127,Saturn,S/2006 S1,0.0,3.0,2.3,0.04
128,Saturn,S/2006 S3,0.0,2.5,2.3,0.04
129,Saturn,S/2007 S2,0.0,3.0,2.3,0.04
130,Saturn,S/2007 S3,0.0,2.0,2.3,0.04
131,Uranus,Ariel,86.4,578.9,1.592,0.39
132,Uranus,Umbriel,81.5,584.7,1.459,0.21
133,Uranus,Titania,228.2,788.9,1.662,0.27
134,Uranus,Oberon,192.4,761.4,1.559,0.23
135,Uranus,Miranda,4.4,235.8,1.214,0.32
136,Uranus,Cordelia,0.003,20.1,1.3,0.07
137,Uranus,Ophelia,0.0036,21.4,1.3,0.07
138,Uranus,Bianca,0.0062,27.0,1.3,0.065
139,Uranus,Cressida,0.0229,41.0,1.3,0.069
140,Uranus,Desdemona,0.0119,35.0,1.3,0.084
141,Uranus,Juliet,0.0372,53.0,1.3,0.075
142,Uranus,Portia,0.1122,70.0,1.3,0.069
143,Uranus,Rosalind,0.017,36.0,1.3,0.072
144,Uranus,Belinda,0.0238,45.0,1.3,0.067
145,Uranus,Puck,0.1931,81.0,1.3,0.104
146,Uranus,Caliban,0.02,36.0,1.5,0.04
147,Uranus,Sycorax,0.18,75.0,1.5,0.04
148,Uranus,Prospero,0.0066,25.0,1.5,0.04
149,Uranus,Setebos,0.0058,24.0,1.5,0.04
150,Uranus,Stephano,0.0017,16.0,1.5,0.04
151,Uranus,Trinculo,0.00031,9.0,1.5,0.04
152,Uranus,Francisco,0.00056,11.0,1.5,0.04
153,Uranus,Margaret,0.00042,10.0,1.5,0.04
154,Uranus,Ferdinand,0.00042,10.0,1.5,0.04
155,Uranus,Perdita,0.0012,13.0,1.3,0.07
156,Uranus,Mab,0.0006,12.0,1.3,0.103
157,Uranus,Cupid,0.0002,9.0,1.3,0.07
158,Neptune,Triton,1427.6,1353.4,2.059,0.719
159,Neptune,Nereid,2.06,170.0,1.5,0.155
160,Neptune,Naiad,0.013,33.0,1.3,0.072
161,Neptune,Thalassa,0.025,41.0,1.3,0.091
162,Neptune,Despina,0.14,75.0,1.3,0.09
163,Neptune,Galatea,0.25,88.0,1.3,0.079
164,Neptune,Larissa,0.33,97.0,1.3,0.091
165,Neptune,Proteus,3.36,210.0,1.3,0.096
166,Neptune,Halimede,0.012,31.0,1.5,0.04
167,Neptune,Psamathe,0.0033,20.0,1.5,0.04
168,Neptune,Sao,0.0045,22.0,1.5,0.04
169,Neptune,Laomedeia,0.0039,21.0,1.5,0.04
170,Neptune,Neso,0.011,30.0,1.5,0.04
171,Neptune,S/2004 N1,0.0003,9.0,1.3,0.1
172,Pluto,Charon,102.3,603.6,1.664,0.372
173,Pluto,Nix,0.0013,23.0,2.1,0.35
174,Pluto,Hydra,0.0065,30.5,0.8,0.35
175,Pluto,Kerberos,0.0011,14.0,1.4,0.35
176,Pluto,Styx,0.0,10.0,,0.35
